entry_time,exit_time,direction,entry_price,exit_price,sl,tp,pnl_usd,result,rsi_at_entry,atr_at_entry,cum_pnl,cum_max,drawdown,month
2025-05-29 18:00:00+00:00,2025-05-30 05:00:00+00:00,short,2790.1,2810.44,2810.44,2770.1,-20.34,LOSS,44.9,8.83,-44.44,26.599999999999998,71.03999999999999,2025-05
2025-06-03 17:00:00+00:00,2025-06-04 11:00:00+00:00,short,2800.63,2817.0,2817.0,2780.63,-16.37,LOSS,65.3,9.04,-60.81,26.599999999999998,87.41,2025-06
2025-06-20 20:00:00+00:00,2025-06-23 09:00:00+00:00,long,2754.75,2774.75,2740.67,2774.75,20.0,WIN,70.8,7.19,-40.81,26.599999999999998,67.41,2025-06
2025-07-03 20:00:00+00:00,2025-07-07 14:00:00+00:00,short,2724.5,2704.5,2741.29,2704.5,20.0,WIN,46.7,9.56,-20.810000000000002,26.599999999999998,47.41,2025-07
2025-07-15 18:00:00+00:00,2025-07-16 00:00:00+00:00,short,2710.87,2725.14,2725.14,2690.87,-14.27,LOSS,51.0,8.64,-35.08,26.599999999999998,61.67999999999999,2025-07
2025-07-22 12:00:00+00:00,2025-07-22 16:00:00+00:00,short,2709.13,2725.6,2725.6,2689.13,-16.47,LOSS,61.4,8.76,-51.55,26.599999999999998,78.14999999999999,2025-07
2025-07-22 17:00:00+00:00,2025-07-22 22:00:00+00:00,long,2720.23,2705.76,2705.76,2740.23,-14.47,LOSS,45.8,8.49,-66.02,26.599999999999998,92.61999999999999,2025-07
2025-07-24 20:00:00+00:00,2025-07-25 13:00:00+00:00,long,2717.79,2737.79,2702.99,2737.79,20.0,WIN,68.2,7.86,-46.019999999999996,26.599999999999998,72.61999999999999,2025-07
2025-08-15 12:00:00+00:00,2025-08-18 00:00:00+00:00,long,2778.31,2798.31,2765.23,2798.31,20.0,WIN,69.3,7.95,-26.019999999999996,26.599999999999998,52.61999999999999,2025-08
2025-09-17 18:00:00+00:00,2025-09-19 16:00:00+00:00,short,2844.06,2856.89,2856.89,2824.06,-12.83,LOSS,58.8,7.26,-38.849999999999994,26.599999999999998,65.44999999999999,2025-09
2025-09-19 20:00:00+00:00,2025-09-22 01:00:00+00:00,short,2839.89,2854.79,2854.79,2819.89,-14.9,LOSS,48.1,8.08,-53.74999999999999,26.599999999999998,80.35,2025-09
2025-09-26 14:00:00+00:00,2025-09-26 20:00:00+00:00,long,2872.69,2892.69,2857.44,2892.69,20.0,WIN,78.3,9.67,-33.74999999999999,26.599999999999998,60.349999999999994,2025-09
2025-10-02 13:00:00+00:00,2025-10-02 22:00:00+00:00,long,2930.52,2910.53,2910.53,2950.52,-19.98,LOSS,61.7,10.03,-53.72999999999999,26.599999999999998,80.32999999999998,2025-10
2025-10-16 20:00:00+00:00,2025-10-17 12:00:00+00:00,short,2985.0,3001.98,3001.98,2965.0,-16.97,LOSS,66.9,8.04,-70.69999999999999,26.599999999999998,97.29999999999998,2025-10
2025-12-25 16:00:00+00:00,2025-12-26 04:00:00+00:00,short,2906.92,2886.92,2923.07,2886.92,20.0,WIN,40.7,8.94,-50.69999999999999,26.599999999999998,77.29999999999998,2025-12
2026-02-09 15:00:00+00:00,2026-02-09 23:00:00+00:00,long,3083.3,3064.59,3064.59,3103.3,-18.71,LOSS,62.2,10.13,-69.41,26.599999999999998,96.00999999999999,2026-02
2026-02-11 13:00:00+00:00,2026-02-11 22:00:00+00:00,long,3081.98,3101.98,3066.85,3101.98,20.0,WIN,63.9,11.76,-49.41,26.599999999999998,76.00999999999999,2026-02
2026-02-20 15:00:00+00:00,2026-02-23 01:00:00+00:00,short,3137.39,3117.39,3156.52,3117.39,20.0,WIN,14.1,10.31,-29.409999999999997,26.599999999999998,56.00999999999999,2026-02
2026-02-27 15:00:00+00:00,2026-02-27 18:00:00+00:00,short,3146.06,3158.16,3158.16,3126.06,-12.1,LOSS,60.0,9.82,-41.51,26.599999999999998,68.11,2026-02
2026-03-02 14:00:00+00:00,2026-03-04 11:00:00+00:00,long,3160.62,3138.97,3138.97,3180.62,-21.65,LOSS,43.3,9.61,-63.16,26.599999999999998,89.75999999999999,2026-03
2026-03-13 17:00:00+00:00,2026-03-16 05:00:00+00:00,short,3176.18,3156.18,3190.04,3156.18,20.0,WIN,43.5,7.26,-43.16,26.599999999999998,69.75999999999999,2026-03
2026-03-24 16:00:00+00:00,2026-03-25 07:00:00+00:00,short,3190.23,3207.73,3207.73,3170.23,-17.5,LOSS,65.4,9.33,-60.66,26.599999999999998,87.25999999999999,2026-03
2026-03-25 14:00:00+00:00,2026-03-26 00:00:00+00:00,long,3202.35,3222.35,3186.95,3222.35,20.0,WIN,67.8,11.39,-40.66,26.599999999999998,67.25999999999999,2026-03
2026-04-03 12:00:00+00:00,2026-04-03 20:00:00+00:00,short,3233.29,3253.25,3253.25,3213.29,-19.96,LOSS,56.1,11.18,-60.62,26.599999999999998,87.22,2026-04
2026-04-09 16:00:00+00:00,2026-04-10 05:00:00+00:00,short,3247.11,3258.14,3258.14,3227.11,-11.04,LOSS,59.5,10.86,-71.66,26.599999999999998,98.25999999999999,2026-04
2026-04-22 14:00:00+00:00,2026-04-22 21:00:00+00:00,long,3310.5,3330.5,3292.01,3330.5,20.0,WIN,73.7,12.96,-51.66,26.599999999999998,78.25999999999999,2026-04
2026-04-23 19:00:00+00:00,2026-04-24 07:00:00+00:00,short,3299.97,3316.02,3316.02,3279.97,-16.05,LOSS,57.8,10.83,-67.71,26.599999999999998,94.30999999999999,2026-04
