date,open,high,low,close
2025-10-17,199.874,200.581,199.638,200.491
2025-10-20,200.491,200.681,198.596,198.734
2025-10-21,198.734,200.299,198.655,199.5
2025-10-22,199.5,200.976,199.452,200.887
2025-10-23,200.887,201.566,200.549,201.442
2025-10-24,201.442,201.658,201.051,201.582
2025-10-27,201.582,202.208,201.352,201.454
2025-10-28,201.454,201.7,200.935,201.329
2025-10-29,201.329,201.784,199.98,200.449
2025-10-30,200.449,200.552,199.28,199.345
2025-10-31,199.345,200.264,199.139,199.732
2025-11-03,199.732,200.735,199.103,200.28
2025-11-04,200.28,201.304,200.186,201.035
2025-11-05,201.035,201.199,199.98,200.231
2025-11-06,200.231,200.332,199.551,200.27
2025-11-07,200.27,200.875,199.728,200.529
2025-11-10,200.529,201.458,200.07,200.419
2025-11-11,200.419,201.443,199.922,201.416
2025-11-12,201.416,201.492,199.225,200.437
2025-11-13,200.437,201.027,200.281,200.695
2025-11-14,200.695,200.786,200.036,200.211
2025-11-17,200.211,201.484,199.866,201.475
2025-11-18,201.475,201.566,200.249,201.027
2025-11-19,201.027,201.554,200.3,200.735
2025-11-20,200.735,200.9,197.808,198.489
2025-11-21,198.489,199.477,196.633,197.192
2025-11-24,197.192,198.533,196.317,197.878
2025-11-25,197.878,198.304,197.661,198.134
2025-11-26,198.134,199.012,197.485,199.008
2025-11-27,199.008,199.258,198.641,198.932
2025-11-28,198.932,199.483,197.203,197.411
2025-12-01,197.411,197.419,196.505,197.021
2025-12-02,197.021,197.537,196.68,197.371
2025-12-03,197.371,200.486,197.034,199.792
2025-12-04,199.792,201.668,198.019,198.618
2025-12-05,198.618,198.968,197.455,198.269
2025-12-08,198.269,199.505,198.135,198.791
2025-12-09,198.791,199.612,198.181,199.453
2025-12-10,199.453,199.671,198.704,198.715
2025-12-11,198.715,199.083,197.728,198.203
2025-12-12,198.203,198.573,195.684,196.359
2025-12-15,196.359,197.529,195.543,195.788
2025-12-16,195.788,196.205,194.446,194.567
2025-12-17,194.567,195.755,192.837,193.332
2025-12-18,193.332,194.871,193.277,194.141
2025-12-19,194.141,194.278,192.925,193.106
2025-12-22,193.106,194.157,192.406,194.129
2025-12-23,194.129,194.572,193.037,194.236
2025-12-24,194.236,194.952,193.235,193.528
2025-12-25,193.528,196.656,193.242,195.727
2025-12-26,195.727,196.071,194.742,195.273
2025-12-29,195.273,195.344,193.769,194.872
2025-12-30,194.872,195.115,194.754,194.814
2025-12-31,194.814,196.022,194.69,195.512
2026-01-01,195.512,195.651,193.35,194.289
2026-01-02,194.289,195.211,193.822,195.164
2026-01-05,195.164,195.69,194.601,194.882
2026-01-06,194.882,197.224,194.737,196.537
2026-01-07,196.537,199.518,195.943,198.514
2026-01-08,198.514,198.559,196.452,196.538
2026-01-09,196.538,199.082,195.579,197.505
2026-01-12,197.505,197.523,196.495,196.942
2026-01-13,196.942,197.535,196.558,196.759
2026-01-14,196.759,196.881,195.597,195.888
2026-01-15,195.888,197.852,195.729,197.524
2026-01-16,197.524,197.784,197.498,197.636
2026-01-19,197.636,197.822,195.52,195.978
2026-01-20,195.978,196.772,194.405,194.985
2026-01-21,194.985,195.56,194.754,194.891
2026-01-22,194.891,195.432,192.698,193.077
2026-01-23,193.077,193.622,192.205,192.295
2026-01-26,192.295,192.801,191.997,192.16
2026-01-27,192.16,193.455,191.442,191.694
2026-01-28,191.694,192.346,190.286,190.861
2026-01-29,190.861,191.455,188.391,189.184
2026-01-30,189.184,189.482,188.379,188.544
2026-02-02,188.544,188.638,186.686,186.783
2026-02-03,186.783,188.549,185.265,188.255
2026-02-04,188.255,188.266,185.971,186.504
2026-02-05,186.504,188.246,186.127,187.835
2026-02-06,187.835,188.207,186.025,187.04
2026-02-09,187.04,189.234,186.909,188.98
2026-02-10,188.98,190.442,188.492,190.067
2026-02-11,190.067,190.424,188.243,188.341
2026-02-12,188.341,189.271,187.837,188.792
2026-02-13,188.792,190.095,188.446,188.992
2026-02-16,188.992,190.019,188.608,190.01
2026-02-17,190.01,192.107,189.398,192.054
2026-02-18,192.054,192.349,190.699,191.151
2026-02-19,191.151,191.7,190.047,190.384
2026-02-20,190.384,190.385,188.592,189.558
2026-02-23,189.558,190.426,189.192,189.958
2026-02-24,189.958,190.692,189.673,190.104
2026-02-25,190.104,191.102,189.378,191.083
2026-02-26,191.083,191.182,190.282,190.92
2026-02-27,190.92,191.68,189.616,190.267
2026-03-02,190.267,191.865,190.244,190.782
2026-03-03,190.782,191.655,190.034,190.398
2026-03-04,190.398,190.853,189.292,189.819
2026-03-05,189.819,190.537,188.593,189.109
2026-03-06,189.109,189.857,186.622,187.402
2026-03-09,187.402,187.743,186.275,186.888
2026-03-10,186.888,187.498,186.672,187.474
2026-03-11,187.474,188.271,186.904,187.024
2026-03-12,187.024,188.9,186.697,187.607
2026-03-13,187.607,187.82,185.092,185.279
2026-03-16,185.279,185.538,184.086,184.597
2026-03-17,184.597,186.067,184.466,185.29
2026-03-18,185.29,186.08,185.227,185.812
2026-03-19,185.812,188.213,185.587,188.006
2026-03-20,188.006,188.89,184.846,185.03
2026-03-23,185.03,185.691,183.179,183.797
2026-03-24,183.797,184.693,183.587,183.976
2026-03-25,183.976,184.561,182.831,183.352
2026-03-26,183.352,183.636,180.837,181.067
2026-03-27,181.067,183.545,180.037,183.383
2026-03-30,183.383,183.415,182.345,182.523
2026-03-31,182.523,184.642,182.358,183.662
2026-04-01,183.662,185.561,182.731,184.789
2026-04-02,184.789,185.338,183.564,184.42
2026-04-03,184.42,186.159,184.006,185.797
2026-04-06,185.797,186.521,184.497,184.989
2026-04-07,184.989,185.003,184.377,184.667
2026-04-08,184.667,184.783,183.784,184.295
2026-04-09,184.295,184.553,184.256,184.43
2026-04-10,184.43,184.823,182.736,183.672
2026-04-13,183.672,184.289,182.626,183.071
2026-04-14,183.071,183.451,179.894,180.212
2026-04-15,180.212,181.226,179.975,181.132
2026-04-16,181.132,182.341,180.759,181.892
2026-04-17,181.892,181.977,180.547,180.607
2026-04-20,180.607,181.219,180.153,180.855
2026-04-21,180.855,182.697,180.499,181.924
2026-04-22,181.924,182.524,181.619,182.188
2026-04-23,182.188,182.833,180.672,181.531
2026-04-24,181.531,183.783,181.369,183.766
2026-04-27,183.766,184.285,183.456,184.284
2026-04-28,184.284,184.38,183.331,184.21
2026-04-29,184.21,184.485,183.769,184.451
2026-04-30,184.451,184.823,184.42,184.677
2026-05-01,184.677,184.692,182.826,183.394
2026-05-04,183.394,184.276,182.936,183.685
2026-05-05,183.685,184.71,183.635,184.57
2026-05-06,184.57,186.07,184.021,185.088
2026-05-07,185.088,185.26,184.944,184.984
2026-05-08,184.984,185.051,183.712,183.939
2026-05-11,183.939,184.104,182.718,182.823
2026-05-12,182.823,184.532,182.456,184.2
2026-05-13,184.2,185.036,183.732,184.613
2026-05-14,184.613,186.053,182.515,183.055
2026-05-15,183.055,183.235,182.744,182.884
2026-05-18,182.884,183.818,181.803,182.302
2026-05-19,182.302,182.365,180.49,180.832
2026-05-20,180.832,180.94,179.845,180.136
2026-05-21,180.136,181.415,180.024,181.222
2026-05-22,181.222,181.55,179.621,179.824
2026-05-25,179.824,180.498,179.737,180.333
2026-05-26,180.333,180.825,179.66,180.633
2026-05-27,180.633,181.961,180.042,181.72
2026-05-28,181.72,182.052,180.448,180.571
2026-05-29,180.571,181.572,179.982,181.124
2026-06-01,181.124,182.194,180.886,181.188
2026-06-02,181.188,181.564,178.129,178.404
2026-06-03,178.404,178.567,177.596,177.793
2026-06-04,177.793,178.544,176.592,177.199
2026-06-05,177.199,177.826,175.193,176.003
2026-06-08,176.003,176.766,174.048,175.167
2026-06-09,175.167,176.486,175.095,175.86
2026-06-10,175.86,176.708,175.316,175.721
2026-06-11,175.721,176.035,175.58,175.706
2026-06-12,175.706,175.735,174.814,174.861
2026-06-15,174.861,176.365,174.637,175.894
2026-06-16,175.894,176.393,175.801,176.309
2026-06-17,176.309,176.698,175.909,176.35
2026-06-18,176.35,177.443,175.768,176.895
2026-06-19,176.895,177.832,176.754,177.194
2026-06-22,177.194,177.819,176.615,177.438
2026-06-23,177.438,177.792,176.792,177.095
2026-06-24,177.095,177.468,175.934,176.076
2026-06-25,176.076,176.398,175.707,176.153
2026-06-26,176.153,176.846,175.633,176.595
2026-06-29,176.595,176.728,175.953,176.488
2026-06-30,176.488,177.881,176.468,177.458
2026-07-01,177.458,177.926,177.443,177.662
2026-07-02,177.662,179.531,177.622,178.703
2026-07-03,178.703,179.684,178.534,179.247
2026-07-06,179.247,179.7,177.282,178.066
2026-07-07,178.066,180.529,177.972,180.094
2026-07-08,180.094,181.086,179.621,180.21
2026-07-09,180.21,180.509,178.863,178.994
2026-07-10,178.994,179.071,177.879,177.947
2026-07-13,177.947,178.748,176.415,177.111
2026-07-14,177.111,177.299,175.663,175.767
2026-07-15,175.767,176.596,175.25,176.287
2026-07-16,176.287,176.628,175.374,175.636
2026-07-17,175.636,176.017,174.874,175.168
2026-07-20,175.168,176.823,174.776,176.373
2026-07-21,176.373,177.538,176.242,177.28
2026-07-22,177.28,177.426,174.99,175.327
2026-07-23,175.327,176.092,174.651,175.829
2026-07-24,175.829,176.003,174.514,174.773
2026-07-27,174.773,175.595,174.75,175.017
2026-07-28,175.017,176.095,172.861,173.22
2026-07-29,173.22,173.5,171.135,171.844
2026-07-30,171.844,172.043,170.149,170.354
2026-07-31,170.354,171.72,170.224,171.495
2026-08-03,171.495,172.947,171.289,172.388
2026-08-04,172.388,172.898,171.117,172.001
2026-08-05,172.001,173.673,171.538,172.788
2026-08-06,172.788,174.327,172.231,173.782
2026-08-07,173.782,174.622,173.485,173.787
2026-08-10,173.787,175.134,173.521,174.801
2026-08-11,174.801,175.048,172.863,173.375
